Company,Investment,Initial Acquisition Date,Reference Rate and Spread,Interest Rate,Amortized Cost,Fair Value,Percentage of Net Assets
"Truck-Lite Co., LLC (3)","First-lien loan ($298,266 par, due 2/2032)",2/13/2024,SOFR + 5.00%,,$,$,
Price Fx Inc. (3)(4),"First-lien loan (EUR 910 par, due 10/2029)",10/27/2023,,,,"1,083  (EUR 921)",
Erling Lux Bidco SARL (3)(4),"First-lien loan (EUR 11,549 par, due 9/2028)",9/6/2022,,,,"13,817  (EUR 11,759)",
Aurelia Netherlands MidCo 2 B.V. (3)(4),"First-lien loan (EUR 326,566 par, due 5/2031)",5/22/2024,,,,"383,715  (EUR 326,566)",
Alaska Bidco Oy (3)(4),"First-lien loan (EUR 727 par, due 5/2030)",5/30/2023,,,,860  (EUR 732),
